pattern,pattern_length,frequency,success_rate,next_positions,next_success_rate,bone_count,sample_games
19-13-17,3,2,0.500,"7,4",0.000,4,"cml7x5nlq02pr29egemn38m5k,cml7wbpjr009229egxp7s6qex"
13-17-7,3,2,0.500,"2",0.000,4,"cml7x5nlq02pr29egemn38m5k,cml7w0n7q005729egg3vn0m0r"
10-19-13-17,4,2,0.500,"7,4",0.000,4,"cml7x5nlq02pr29egemn38m5k,cml7wbpjr009229egxp7s6qex"
16-22,2,2,0.000,"",0.000,4,"cml7x2uvz02p029eg9cjj33ud,cml7wq03402hd29eg3810vbo3"
7-19,2,2,1.000,"10,14",0.500,4,"cml7wzbxg02mp29egot5j4b4t,cml7wdn5r009x29eg6m62hmhd"
3-14,2,2,0.000,"25,18",0.000,4,"cml7wwhyn02l629egk38ru4od,cml7wjh4a00dz29egqh1jcw8g"
14-25,2,2,0.000,"",0.000,4,"cml7wwhyn02l629egk38ru4od,cml7w7dxt006o29egx6gcs4l5"
9-13,2,2,0.000,"15,25",0.000,4,"cml7wsz0n02jo29egxc2aw1zt,cml7wdn5r009x29eg6m62hmhd"
19-7,2,2,0.500,"20,8",0.500,4,"cml7wsj8s02ix29egi0skd31n,cml7vw78v002w29eg6o0ziv6f"
7-20,2,2,0.500,"10,12",0.500,4,"cml7wsj8s02ix29egi0skd31n,cml7vyb3p003n29eg2sdwt0gi"
13-19,2,2,1.000,"14,14",1.000,4,"cml7wq03402hd29eg3810vbo3,cml7w98uq007k29eg5i6g2vv4"
13-19-14,3,2,1.000,"17",0.000,4,"cml7wq03402hd29eg3810vbo3,cml7w98uq007k29eg5i6g2vv4"
2-5,2,2,0.000,"15,18",0.000,4,"cml7wo5w802gn29egayd3e9di,cml72ci2y062n29l81pp1at9u"
12-13,2,2,0.000,"24,17",0.000,4,"cml7wlxtd00fk29egdkm0adj9,cml735mxi000q29agjrpalorv"
3-15,2,2,0.000,"21,20",0.000,4,"cml7wl1r900es29egqd9hkza1,cml768qef0026290sol8vcwka"
2-4-9,3,2,0.000,"",0.000,4,"cml7wi9m300d929eg2v9h1io5,cml7vz6gq004h29egp8rn259y"
15-19,2,2,0.000,"16,23",0.000,4,"cml7wf17h00au29egst8bp72s,cml76ciah004e290ssfvgrsj8"
18-21,2,2,0.000,"",0.000,4,"cml7wf17h00au29egst8bp72s,cml72ci2y062n29l81pp1at9u"
4-6,2,2,0.500,"22,7",0.500,4,"cml7wbpjr009229egxp7s6qex,cml7vmtpk000029eg6mvpy3mr"
14-23,2,2,0.000,"",0.000,4,"cml7vw78v002w29eg6o0ziv6f,cml766te4000q290sjmhz93vi"
8-14-23,3,2,0.000,"",0.000,4,"cml7vw78v002w29eg6o0ziv6f,cml766te4000q290sjmhz93vi"
12-17,2,2,0.000,"19",0.000,4,"cml76alnl003n290sxdtt3pmp,cml71g0si003429y8tpfx6zjy"
11-14,2,2,0.000,"18,18",0.000,4,"cml72af69061229l8nng8mou0,cml71p7ke000q29koye5xmz2y"
11-14-18,3,2,0.000,"24",0.000,4,"cml72af69061229l8nng8mou0,cml71p7ke000q29koye5xmz2y"
7-2,2,1,0.000,"15",0.000,4,"cml7x5nlq02pr29egemn38m5k"
2-15,2,1,0.000,"24",0.000,4,"cml7x5nlq02pr29egemn38m5k"
15-24,2,1,0.000,"",0.000,4,"cml7x5nlq02pr29egemn38m5k"
17-7-2,3,1,0.000,"15",0.000,4,"cml7x5nlq02pr29egemn38m5k"
7-2-15,3,1,0.000,"24",0.000,4,"cml7x5nlq02pr29egemn38m5k"
2-15-24,3,1,0.000,"",0.000,4,"cml7x5nlq02pr29egemn38m5k"
19-13-17-7,4,1,0.000,"2",0.000,4,"cml7x5nlq02pr29egemn38m5k"
13-17-7-2,4,1,0.000,"15",0.000,4,"cml7x5nlq02pr29egemn38m5k"
17-7-2-15,4,1,0.000,"24",0.000,4,"cml7x5nlq02pr29egemn38m5k"
7-2-15-24,4,1,0.000,"",0.000,4,"cml7x5nlq02pr29egemn38m5k"
14-13,2,1,0.000,"16",0.000,4,"cml7x2uvz02p029eg9cjj33ud"
13-16,2,1,0.000,"22",0.000,4,"cml7x2uvz02p029eg9cjj33ud"
14-13-16,3,1,0.000,"22",0.000,4,"cml7x2uvz02p029eg9cjj33ud"
13-16-22,3,1,0.000,"",0.000,4,"cml7x2uvz02p029eg9cjj33ud"
14-13-16-22,4,1,0.000,"",0.000,4,"cml7x2uvz02p029eg9cjj33ud"
13-18,2,1,1.000,"7",0.000,4,"cml7x1tzd02o729eglxbqcqif"
17-20,2,1,0.000,"22",0.000,4,"cml7x1tzd02o729eglxbqcqif"
20-22,2,1,0.000,"",0.000,4,"cml7x1tzd02o729eglxbqcqif"
13-18-7,3,1,0.000,"17",0.000,4,"cml7x1tzd02o729eglxbqcqif"
18-7-17,3,1,0.000,"20",0.000,4,"cml7x1tzd02o729eglxbqcqif"
7-17-20,3,1,0.000,"22",0.000,4,"cml7x1tzd02o729eglxbqcqif"
17-20-22,3,1,0.000,"",0.000,4,"cml7x1tzd02o729eglxbqcqif"
13-18-7-17,4,1,0.000,"20",0.000,4,"cml7x1tzd02o729eglxbqcqif"
18-7-17-20,4,1,0.000,"22",0.000,4,"cml7x1tzd02o729eglxbqcqif"
7-17-20-22,4,1,0.000,"",0.000,4,"cml7x1tzd02o729eglxbqcqif"
2-6,2,1,0.000,"8",0.000,4,"cml7x08tq02ng29eggrzn0saa"
6-8,2,1,0.000,"14",0.000,4,"cml7x08tq02ng29eggrzn0saa"
2-6-8,3,1,0.000,"14",0.000,4,"cml7x08tq02ng29eggrzn0saa"
6-8-14,3,1,0.000,"",0.000,4,"cml7x08tq02ng29eggrzn0saa"
2-6-8-14,4,1,0.000,"",0.000,4,"cml7x08tq02ng29eggrzn0saa"
19-10,2,1,1.000,"",0.000,4,"cml7wzbxg02mp29egot5j4b4t"
18-7-19,3,1,1.000,"10",1.000,4,"cml7wzbxg02mp29egot5j4b4t"
7-19-10,3,1,1.000,"",0.000,4,"cml7wzbxg02mp29egot5j4b4t"
18-7-19-10,4,1,1.000,"",0.000,4,"cml7wzbxg02mp29egot5j4b4t"
14-19,2,1,0.000,"18",0.000,4,"cml7wxvhl02lx29egvei8umhg"
19-18,2,1,0.000,"20",0.000,4,"cml7wxvhl02lx29egvei8umhg"
18-20,2,1,0.000,"21",0.000,4,"cml7wxvhl02lx29egvei8umhg"
20-21,2,1,0.000,"",0.000,4,"cml7wxvhl02lx29egvei8umhg"
14-19-18,3,1,0.000,"20",0.000,4,"cml7wxvhl02lx29egvei8umhg"
19-18-20,3,1,0.000,"21",0.000,4,"cml7wxvhl02lx29egvei8umhg"
18-20-21,3,1,0.000,"",0.000,4,"cml7wxvhl02lx29egvei8umhg"
14-19-18-20,4,1,0.000,"21",0.000,4,"cml7wxvhl02lx29egvei8umhg"
19-18-20-21,4,1,0.000,"",0.000,4,"cml7wxvhl02lx29egvei8umhg"
10-3,2,1,0.000,"14",0.000,4,"cml7wwhyn02l629egk38ru4od"
10-3-14,3,1,0.000,"25",0.000,4,"cml7wwhyn02l629egk38ru4od"
3-14-25,3,1,0.000,"",0.000,4,"cml7wwhyn02l629egk38ru4od"
10-3-14-25,4,1,0.000,"",0.000,4,"cml7wwhyn02l629egk38ru4od"
15-2,2,1,0.000,"16",0.000,4,"cml7wvmqo02kf29egikzcyysp"
2-16,2,1,0.000,"17",0.000,4,"cml7wvmqo02kf29egikzcyysp"
16-17,2,1,0.000,"",0.000,4,"cml7wvmqo02kf29egikzcyysp"
15-2-16,3,1,0.000,"17",0.000,4,"cml7wvmqo02kf29egikzcyysp"
2-16-17,3,1,0.000,"",0.000,4,"cml7wvmqo02kf29egikzcyysp"
15-2-16-17,4,1,0.000,"",0.000,4,"cml7wvmqo02kf29egikzcyysp"
13-15,2,1,0.000,"22",0.000,4,"cml7wsz0n02jo29egxc2aw1zt"
15-22,2,1,0.000,"",0.000,4,"cml7wsz0n02jo29egxc2aw1zt"
9-13-15,3,1,0.000,"22",0.000,4,"cml7wsz0n02jo29egxc2aw1zt"
13-15-22,3,1,0.000,"",0.000,4,"cml7wsz0n02jo29egxc2aw1zt"
9-13-15-22,4,1,0.000,"",0.000,4,"cml7wsz0n02jo29egxc2aw1zt"
20-10,2,1,1.000,"",0.000,4,"cml7wsj8s02ix29egi0skd31n"
19-7-20,3,1,1.000,"10",1.000,4,"cml7wsj8s02ix29egi0skd31n"
7-20-10,3,1,1.000,"",0.000,4,"cml7wsj8s02ix29egi0skd31n"
19-7-20-10,4,1,1.000,"",0.000,4,"cml7wsj8s02ix29egi0skd31n"
23-2,2,1,0.000,"4",0.000,4,"cml7wqsof02i729eg4cshlmm4"
4-25,2,1,0.000,"",0.000,4,"cml7wqsof02i729eg4cshlmm4"
23-2-4,3,1,0.000,"25",0.000,4,"cml7wqsof02i729eg4cshlmm4"
2-4-25,3,1,0.000,"",0.000,4,"cml7wqsof02i729eg4cshlmm4"
23-2-4-25,4,1,0.000,"",0.000,4,"cml7wqsof02i729eg4cshlmm4"
14-17,2,1,0.000,"6",0.000,4,"cml7wq03402hd29eg3810vbo3"
17-6,2,1,0.000,"16",0.000,4,"cml7wq03402hd29eg3810vbo3"
6-16,2,1,0.000,"22",0.000,4,"cml7wq03402hd29eg3810vbo3"
19-14-17,3,1,0.000,"6",0.000,4,"cml7wq03402hd29eg3810vbo3"
14-17-6,3,1,0.000,"16",0.000,4,"cml7wq03402hd29eg3810vbo3"
17-6-16,3,1,0.000,"22",0.000,4,"cml7wq03402hd29eg3810vbo3"
6-16-22,3,1,0.000,"",0.000,4,"cml7wq03402hd29eg3810vbo3"
13-19-14-17,4,1,0.000,"6",0.000,4,"cml7wq03402hd29eg3810vbo3"
19-14-17-6,4,1,0.000,"16",0.000,4,"cml7wq03402hd29eg3810vbo3"
14-17-6-16,4,1,0.000,"22",0.000,4,"cml7wq03402hd29eg3810vbo3"
17-6-16-22,4,1,0.000,"",0.000,4,"cml7wq03402hd29eg3810vbo3"
10-2,2,1,0.000,"5",0.000,4,"cml7wo5w802gn29egayd3e9di"
5-15,2,1,0.000,"",0.000,4,"cml7wo5w802gn29egayd3e9di"
10-2-5,3,1,0.000,"15",0.000,4,"cml7wo5w802gn29egayd3e9di"
2-5-15,3,1,0.000,"",0.000,4,"cml7wo5w802gn29egayd3e9di"
10-2-5-15,4,1,0.000,"",0.000,4,"cml7wo5w802gn29egayd3e9di"
15-12,2,1,0.000,"13",0.000,4,"cml7wlxtd00fk29egdkm0adj9"
13-24,2,1,0.000,"",0.000,4,"cml7wlxtd00fk29egdkm0adj9"
15-12-13,3,1,0.000,"24",0.000,4,"cml7wlxtd00fk29egdkm0adj9"
12-13-24,3,1,0.000,"",0.000,4,"cml7wlxtd00fk29egdkm0adj9"
15-12-13-24,4,1,0.000,"",0.000,4,"cml7wlxtd00fk29egdkm0adj9"
7-3,2,1,0.000,"15",0.000,4,"cml7wl1r900es29egqd9hkza1"
15-21,2,1,0.000,"",0.000,4,"cml7wl1r900es29egqd9hkza1"
18-7-3,3,1,0.000,"15",0.000,4,"cml7wl1r900es29egqd9hkza1"
7-3-15,3,1,0.000,"21",0.000,4,"cml7wl1r900es29egqd9hkza1"
3-15-21,3,1,0.000,"",0.000,4,"cml7wl1r900es29egqd9hkza1"
18-7-3-15,4,1,0.000,"21",0.000,4,"cml7wl1r900es29egqd9hkza1"
7-3-15-21,4,1,0.000,"",0.000,4,"cml7wl1r900es29egqd9hkza1"
17-3,2,1,0.000,"14",0.000,4,"cml7wjh4a00dz29egqh1jcw8g"
7-17-3,3,1,0.000,"14",0.000,4,"cml7wjh4a00dz29egqh1jcw8g"
17-3-14,3,1,0.000,"18",0.000,4,"cml7wjh4a00dz29egqh1jcw8g"
3-14-18,3,1,0.000,"",0.000,4,"cml7wjh4a00dz29egqh1jcw8g"
7-17-3-14,4,1,0.000,"18",0.000,4,"cml7wjh4a00dz29egqh1jcw8g"
17-3-14-18,4,1,0.000,"",0.000,4,"cml7wjh4a00dz29egqh1jcw8g"
1-2,2,1,0.000,"4",0.000,4,"cml7wi9m300d929eg2v9h1io5"
1-2-4,3,1,0.000,"9",0.000,4,"cml7wi9m300d929eg2v9h1io5"
1-2-4-9,4,1,0.000,"",0.000,4,"cml7wi9m300d929eg2v9h1io5"
13-23,2,1,1.000,"10",1.000,4,"cml7whq1e00ci29eg416ncqzh"
23-10,2,1,1.000,"",0.000,4,"cml7whq1e00ci29eg416ncqzh"
19-13-23,3,1,1.000,"10",1.000,4,"cml7whq1e00ci29eg416ncqzh"
13-23-10,3,1,1.000,"",0.000,4,"cml7whq1e00ci29eg416ncqzh"
19-13-23-10,4,1,1.000,"",0.000,4,"cml7whq1e00ci29eg416ncqzh"
17-10,2,1,1.000,"20",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
10-20,2,1,0.000,"2",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
20-2,2,1,0.000,"12",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
2-12,2,1,0.000,"21",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
12-21,2,1,0.000,"",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
17-10-20,3,1,0.000,"2",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
10-20-2,3,1,0.000,"12",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
20-2-12,3,1,0.000,"21",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
2-12-21,3,1,0.000,"",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
17-10-20-2,4,1,0.000,"12",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
10-20-2-12,4,1,0.000,"21",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
20-2-12-21,4,1,0.000,"",0.000,4,"cml7wgex200bn29eg7u7kwlp3"
19-16,2,1,0.000,"18",0.000,4,"cml7wf17h00au29egst8bp72s"
16-18,2,1,0.000,"21",0.000,4,"cml7wf17h00au29egst8bp72s"
15-19-16,3,1,0.000,"18",0.000,4,"cml7wf17h00au29egst8bp72s"
19-16-18,3,1,0.000,"21",0.000,4,"cml7wf17h00au29egst8bp72s"
16-18-21,3,1,0.000,"",0.000,4,"cml7wf17h00au29egst8bp72s"
15-19-16-18,4,1,0.000,"21",0.000,4,"cml7wf17h00au29egst8bp72s"
19-16-18-21,4,1,0.000,"",0.000,4,"cml7wf17h00au29egst8bp72s"
20-7,2,1,1.000,"19",1.000,4,"cml7wdn5r009x29eg6m62hmhd"
14-9,2,1,0.000,"13",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
13-25,2,1,0.000,"",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
20-7-19,3,1,1.000,"14",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
7-19-14,3,1,0.000,"9",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
19-14-9,3,1,0.000,"13",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
14-9-13,3,1,0.000,"25",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
9-13-25,3,1,0.000,"",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
20-7-19-14,4,1,0.000,"9",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
7-19-14-9,4,1,0.000,"13",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
19-14-9-13,4,1,0.000,"25",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
14-9-13-25,4,1,0.000,"",0.000,4,"cml7wdn5r009x29eg6m62hmhd"
17-4,2,1,0.000,"6",0.000,4,"cml7wbpjr009229egxp7s6qex"
6-22,2,1,0.000,"",0.000,4,"cml7wbpjr009229egxp7s6qex"
13-17-4,3,1,0.000,"6",0.000,4,"cml7wbpjr009229egxp7s6qex"
17-4-6,3,1,0.000,"22",0.000,4,"cml7wbpjr009229egxp7s6qex"
4-6-22,3,1,0.000,"",0.000,4,"cml7wbpjr009229egxp7s6qex"
19-13-17-4,4,1,0.000,"6",0.000,4,"cml7wbpjr009229egxp7s6qex"
13-17-4-6,4,1,0.000,"22",0.000,4,"cml7wbpjr009229egxp7s6qex"
17-4-6-22,4,1,0.000,"",0.000,4,"cml7wbpjr009229egxp7s6qex"
5-11,2,1,0.000,"16",0.000,4,"cml7w9ru5008b29ega15n30p8"
11-16,2,1,0.000,"21",0.000,4,"cml7w9ru5008b29ega15n30p8"
16-21,2,1,0.000,"",0.000,4,"cml7w9ru5008b29ega15n30p8"
5-11-16,3,1,0.000,"21",0.000,4,"cml7w9ru5008b29ega15n30p8"
11-16-21,3,1,0.000,"",0.000,4,"cml7w9ru5008b29ega15n30p8"
5-11-16-21,4,1,0.000,"",0.000,4,"cml7w9ru5008b29ega15n30p8"
18-13,2,1,1.000,"19",1.000,4,"cml7w98uq007k29eg5i6g2vv4"
18-13-19,3,1,1.000,"14",1.000,4,"cml7w98uq007k29eg5i6g2vv4"
18-13-19-14,4,1,1.000,"",0.000,4,"cml7w98uq007k29eg5i6g2vv4"
17-13,2,1,1.000,"21",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
13-21,2,1,0.000,"8",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
21-8,2,1,0.000,"14",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
7-17-13,3,1,1.000,"21",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
17-13-21,3,1,0.000,"8",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
13-21-8,3,1,0.000,"14",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
21-8-14,3,1,0.000,"25",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
8-14-25,3,1,0.000,"",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
7-17-13-21,4,1,0.000,"8",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
17-13-21-8,4,1,0.000,"14",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
13-21-8-14,4,1,0.000,"25",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
21-8-14-25,4,1,0.000,"",0.000,4,"cml7w7dxt006o29egx6gcs4l5"
3-8,2,1,0.000,"19",0.000,4,"cml7w1av6005y29egknoqubdr"
8-19,2,1,0.000,"24",0.000,4,"cml7w1av6005y29egknoqubdr"
19-24,2,1,0.000,"",0.000,4,"cml7w1av6005y29egknoqubdr"
3-8-19,3,1,0.000,"24",0.000,4,"cml7w1av6005y29egknoqubdr"
8-19-24,3,1,0.000,"",0.000,4,"cml7w1av6005y29egknoqubdr"
3-8-19-24,4,1,0.000,"",0.000,4,"cml7w1av6005y29egknoqubdr"
23-13,2,1,1.000,"17",1.000,4,"cml7w0n7q005729egg3vn0m0r"
23-13-17,3,1,1.000,"7",1.000,4,"cml7w0n7q005729egg3vn0m0r"
23-13-17-7,4,1,1.000,"",0.000,4,"cml7w0n7q005729egg3vn0m0r"
17-2,2,1,0.000,"4",0.000,4,"cml7vz6gq004h29egp8rn259y"
17-2-4,3,1,0.000,"9",0.000,4,"cml7vz6gq004h29egp8rn259y"
17-2-4-9,4,1,0.000,"",0.000,4,"cml7vz6gq004h29egp8rn259y"
20-12,2,1,0.000,"16",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
12-16,2,1,0.000,"23",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
16-23,2,1,0.000,"",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
14-18-7,3,1,1.000,"20",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
18-7-20,3,1,0.000,"12",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
7-20-12,3,1,0.000,"16",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
20-12-16,3,1,0.000,"23",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
12-16-23,3,1,0.000,"",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
14-18-7-20,4,1,0.000,"12",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
18-7-20-12,4,1,0.000,"16",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
7-20-12-16,4,1,0.000,"23",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
20-12-16-23,4,1,0.000,"",0.000,4,"cml7vyb3p003n29eg2sdwt0gi"
7-8,2,1,0.000,"14",0.000,4,"cml7vw78v002w29eg6o0ziv6f"
19-7-8,3,1,0.000,"14",0.000,4,"cml7vw78v002w29eg6o0ziv6f"
7-8-14,3,1,0.000,"23",0.000,4,"cml7vw78v002w29eg6o0ziv6f"
19-7-8-14,4,1,0.000,"23",0.000,4,"cml7vw78v002w29eg6o0ziv6f"
7-8-14-23,4,1,0.000,"",0.000,4,"cml7vw78v002w29eg6o0ziv6f"
1-4,2,1,0.000,"22",0.000,4,"cml7vqay7002629eg091dlq0w"
4-22,2,1,0.000,"23",0.000,4,"cml7vqay7002629eg091dlq0w"
22-23,2,1,0.000,"",0.000,4,"cml7vqay7002629eg091dlq0w"
1-4-22,3,1,0.000,"23",0.000,4,"cml7vqay7002629eg091dlq0w"
4-22-23,3,1,0.000,"",0.000,4,"cml7vqay7002629eg091dlq0w"
1-4-22-23,4,1,0.000,"",0.000,4,"cml7vqay7002629eg091dlq0w"
19-21,2,1,0.000,"24",0.000,4,"cml7vnk44000q29eg357b5ar5"
21-24,2,1,0.000,"25",0.000,4,"cml7vnk44000q29eg357b5ar5"
24-25,2,1,0.000,"",0.000,4,"cml7vnk44000q29eg357b5ar5"
19-21-24,3,1,0.000,"25",0.000,4,"cml7vnk44000q29eg357b5ar5"
21-24-25,3,1,0.000,"",0.000,4,"cml7vnk44000q29eg357b5ar5"
19-21-24-25,4,1,0.000,"",0.000,4,"cml7vnk44000q29eg357b5ar5"
2-4-6,3,1,1.000,"7",1.000,4,"cml7vmtpk000029eg6mvpy3mr"
4-6-7,3,1,1.000,"",0.000,4,"cml7vmtpk000029eg6mvpy3mr"
2-4-6-7,4,1,1.000,"",0.000,4,"cml7vmtpk000029eg6mvpy3mr"
7-4,2,1,0.000,"15",0.000,4,"cml76ciah004e290ssfvgrsj8"
4-15,2,1,0.000,"19",0.000,4,"cml76ciah004e290ssfvgrsj8"
19-23,2,1,0.000,"",0.000,4,"cml76ciah004e290ssfvgrsj8"
6-7-4,3,1,0.000,"15",0.000,4,"cml76ciah004e290ssfvgrsj8"
7-4-15,3,1,0.000,"19",0.000,4,"cml76ciah004e290ssfvgrsj8"
4-15-19,3,1,0.000,"23",0.000,4,"cml76ciah004e290ssfvgrsj8"
15-19-23,3,1,0.000,"",0.000,4,"cml76ciah004e290ssfvgrsj8"
9-6-7-4,4,1,0.000,"15",0.000,4,"cml76ciah004e290ssfvgrsj8"
6-7-4-15,4,1,0.000,"19",0.000,4,"cml76ciah004e290ssfvgrsj8"
7-4-15-19,4,1,0.000,"23",0.000,4,"cml76ciah004e290ssfvgrsj8"
4-15-19-23,4,1,0.000,"",0.000,4,"cml76ciah004e290ssfvgrsj8"
8-10,2,1,0.000,"12",0.000,4,"cml76alnl003n290sxdtt3pmp"
10-12,2,1,0.000,"17",0.000,4,"cml76alnl003n290sxdtt3pmp"
