game_id,sequence_length,sequence_positions,sequence_results,bone_count,hit_bone,success_positions,fail_position,pattern_2,pattern_3,pattern_4,created_at
cml76664f0000290s3gqdj8dc,4,"9,6,2,7","C,C,C,C",4,false,"9,6,2,7",,9-6,9-6-2,9-6-2-7,2026-02-03T22:27:47.963Z
cml735mxi000q29agjrpalorv,4,"4,12,13,17","B,B,B,B",4,false,"",4,4-12,4-12-13,4-12-13-17,2026-02-03T21:03:24.246Z
cml735665000029agxpt7eyud,3,"9,6,2","C,C,C",4,false,"9,6,2",,9-6,9-6-2,,2026-02-03T21:03:02.520Z
cml72ci2y062n29l81pp1at9u,4,"2,5,18,21","B,B,B,B",4,false,"",2,2-5,2-5-18,2-5-18-21,2026-02-03T20:40:44.939Z
cml72c4di061x29l8nd4f50uq,4,"4,9,6,2","C,C,C,C",4,false,"4,9,6,2",,4-9,4-9-6,4-9-6-2,2026-02-03T20:40:27.175Z
cml72af69061229l8nng8mou0,7,"9,6,2,7,11,14,18","C,C,C,B,B,B,B",4,true,"9,6,2",7,9-6,9-6-2,9-6-2-7,2026-02-03T20:39:07.855Z
cml71p7ke000q29koye5xmz2y,4,"11,14,18,24","B,B,B,B",4,false,"",11,11-14,11-14-18,11-14-18-24,2026-02-03T20:22:38.222Z
cml71ompj000029komi2ivnm7,4,"9,6,2,7","C,C,C,C",4,false,"9,6,2,7",,9-6,9-6-2,9-6-2-7,2026-02-03T20:22:11.185Z
cml71g0si003429y8tpfx6zjy,4,"12,17,19,20","B,B,B,B",4,false,"",12,12-17,12-17-19,12-17-19-20,2026-02-03T20:15:29.538Z
cml71fegf002d29y85mhirn7k,4,"4,2,9,6","C,C,C,C",4,false,"4,2,9,6",,4-2,4-2-9,4-2-9-6,2026-02-03T20:15:00.591Z
